Start Date,End Date,Class Status,Offering ID,Offering Name,SKU
1980/3/20,1980/3/20,Holiday,holiday_282,春分の日,HOLIDAY
1980/4/29,1980/4/29,Holiday,holiday_283,天皇誕生日,HOLIDAY
1980/5/3,1980/5/3,Holiday,holiday_284,憲法記念日,HOLIDAY
1980/5/5,1980/5/5,Holiday,holiday_285,こどもの日,HOLIDAY
1980/9/15,1980/9/15,Holiday,holiday_286,敬老の日,HOLIDAY
1980/9/23,1980/9/23,Holiday,holiday_287,秋分の日,HOLIDAY
1980/10/10,1980/10/10,Holiday,holiday_288,体育の日,HOLIDAY
1980/11/3,1980/11/3,Holiday,holiday_289,文化の日,HOLIDAY
1980/11/23,1980/11/23,Holiday,holiday_290,勤労感謝の日,HOLIDAY
1980/11/24,1980/11/24,Holiday,holiday_291,休日,HOLIDAY
1981/1/1,1981/1/1,Holiday,holiday_292,元日,HOLIDAY
1981/1/15,1981/1/15,Holiday,holiday_293,成人の日,HOLIDAY
1981/2/11,1981/2/11,Holiday,holiday_294,建国記念の日,HOLIDAY
1981/3/21,1981/3/21,Holiday,holiday_295,春分の日,HOLIDAY
1981/4/29,1981/4/29,Holiday,holiday_296,天皇誕生日,HOLIDAY
1981/5/3,1981/5/3,Holiday,holiday_297,憲法記念日,HOLIDAY
1981/5/4,1981/5/4,Holiday,holiday_298,休日,HOLIDAY
1981/5/5,1981/5/5,Holiday,holiday_299,こどもの日,HOLIDAY
1981/9/15,1981/9/15,Holiday,holiday_300,敬老の日,HOLIDAY
1981/9/23,1981/9/23,Holiday,holiday_301,秋分の日,HOLIDAY
1981/10/10,1981/10/10,Holiday,holiday_302,体育の日,HOLIDAY
1981/11/3,1981/11/3,Holiday,holiday_303,文化の日,HOLIDAY
1981/11/23,1981/11/23,Holiday,holiday_304,勤労感謝の日,HOLIDAY
1982/1/1,1982/1/1,Holiday,holiday_305,元日,HOLIDAY
1982/1/15,1982/1/15,Holiday,holiday_306,成人の日,HOLIDAY
1982/2/11,1982/2/11,Holiday,holiday_307,建国記念の日,HOLIDAY
1982/3/21,1982/3/21,Holiday,holiday_308,春分の日,HOLIDAY
1982/3/22,1982/3/22,Holiday,holiday_309,休日,HOLIDAY
1982/4/29,1982/4/29,Holiday,holiday_310,天皇誕生日,HOLIDAY
1982/5/3,1982/5/3,Holiday,holiday_311,憲法記念日,HOLIDAY
1982/5/5,1982/5/5,Holiday,holiday_312,こどもの日,HOLIDAY
